"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"79","Bistro Cupid 2","Cooking Sim, RPG, Dating Sim","Success","Success","Unreleased","August 28, 2003","Unreleased"
"80","Black","First-person shooter","Criterion Games","EA Games","February 24, 2006","Unreleased","February 28, 2006"
"81","Black Stone: Magic & Steel Ex-Chaser (JP)","RPG","XPEC Entertainment","Xicat Interactive","March 21, 2003","May 22, 2003","March 19, 2003"
"82","Blade II","Action/Beat 'em up","Mucky Foot Productions","Activision","September 27, 2002","Unreleased","September 3, 2002"
"83","Blazing Angels: Squadrons of WWII","Flight Simulator","Ubisoft Bucharest","Ubisoft","March 31, 2006","Unreleased","March 23, 2006"
"84","Blinx: The Time Sweeper","Action/Platformer","Artoon","Xbox Game Studios","November 8, 2002","December 12, 2002","October 7, 2002"
"85","Blinx 2: Masters of Time and Space Blinx 2: Battle of Time and Space (JP)","Action/Platformer","Artoon","Xbox Game Studios","December 3, 2004","November 18, 2004","November 18, 2004"
"86","Blitz: The League","Sports","Midway Games","Midway Games","Unreleased","Unreleased","October 17, 2005"
"87","Blood Omen 2","Third-person Action-Adventure","Crystal Dynamics","Eidos Interactive","March 28, 2002","Unreleased","March 19, 2002"
"88","Blood Wake","Vehicular combat","Stormfront Studios","Xbox Game Studios","March 14, 2002","Unreleased","December 25, 2001"
"89","BloodRayne","Action/Hack and slash","Terminal Reality","Majesco Entertainment","May 2, 2003","Unreleased","October 15, 2002"
"90","BloodRayne 2","Action/Hack and slash","Terminal Reality","Majesco Entertainment","February 17, 2006","Unreleased","October 12, 2004"
"91","Bloody Roar Extreme","Fighting","Hudson Soft","Konami","July 17, 2003","November 28, 2003","May 27, 2003"
"92","BlowOut","Run and gun","Terminal Reality","Majesco Entertainment","November 26, 2004","Unreleased","January 30, 2004"
"93","BMX XXX","Sports","Z-Axis","AKA Acclaim","December 6, 2002","Unreleased","November 10, 2002"
"94","Braveknight","Visual novel","","Panther Games","Unreleased","September 26, 2002","Unreleased"
"95","Break Nine: World Billiards Tournament","Billiard sports","ASK","ASK","Unreleased","July 25, 2002","Unreleased"
"96","Breakdown","First-person shooter/Action-Adventure","Namco","Namco","June 18, 2004","January 29, 2004","March 16, 2004"
"97","Breeders' Cup World Thoroughbred Championships","Racing (Horses)","ZeniMax Media","Bethesda","Unreleased","Unreleased","September 29, 2005"
"98","Brian Lara International Cricket 2005","Sports","Codemasters","Codemasters","July 21, 2005","Unreleased","Unreleased"
"99","Broken Sword: The Sleeping Dragon","Point and Click","Revolution Software","The Adventure Company","November 14, 2003","Unreleased","December 4, 2003"
"100","Brothers in Arms: Earned in Blood","First-person shooter","Gearbox Software","Ubisoft","October 6, 2005","Unreleased","October 4, 2005"
"101","Brothers in Arms: Road to Hill 30","First-person shooter","Gearbox Software","Ubisoft","March 18, 2005","Unreleased","March 1, 2005"
"102","Bruce Lee: Quest of the Dragon","Beat 'em up","Ronin Entertainment","Vivendi Universal Games","September 6, 2002","Unreleased","July 2, 2002"
"103","Brute Force","Third-person shooter/Tactical shooter","Digital Anvil","Xbox Game Studios","June 20, 2003","October 9, 2003","May 27, 2003"
"104","Buffy the Vampire Slayer","Third-person Action-Adventure/Beat 'em up","The Collective","Electronic Arts","September 13, 2002","Unreleased","August 18, 2002"
"105","Buffy the Vampire Slayer: Chaos Bleeds","Third-person Action-Adventure/Beat 'em up","Eurocom","Vivendi Universal Games","October 24, 2003","Unreleased","August 27, 2003"
"106","Burnout","Racing","Criterion Games","Acclaim Entertainment","May 5, 2002","Unreleased","April 30, 2002"
"107","Burnout 2: Point of Impact","Racing","Criterion Games","Acclaim Entertainment","May 9, 2003","Unreleased","May 1, 2003"
"108","Burnout 3: Takedown","Racing","Criterion Games","EA Games","September 10, 2004","October 14, 2004","September 7, 2004"
"109","Burnout Revenge","Racing","Criterion Games","Electronic Arts","September 23, 2005","October 20, 2005","September 13, 2005"
"110","C.A.T.: Cyber Attack Team","Visual novel","Hide","Hide","Unreleased","June 26, 2003","Unreleased"
"111","Cabela's Big Game Hunter 2005 Adventures","Hunting","Fun Labs/Sand Grain Studios","Activision","October 13, 2005","Unreleased","November 23, 2004"
"112","Cabela's Dangerous Hunts","Hunting","Fun Labs","Activision","October 1, 2004","Unreleased","November 11, 2003"
"113","Cabela's Dangerous Hunts 2","Hunting","Sand Grain Studios","Activision","Unreleased","Unreleased","November 16, 2005"
"114","Cabela's Deer Hunt: 2004 Season","Hunting","Sand Grain Studios","Activision","Unreleased","Unreleased","August 26, 2003"
"115","Cabela's Deer Hunt: 2005 Season","Hunting","Fun Labs","Activision","February 2, 2005","Unreleased","August 31, 2004"
"116","Cabela's Outdoor Adventures","Hunting","Sand Grain Studios","Activision","March 17, 2006","Unreleased","September 14, 2005"
"117","Call of Cthulhu: Dark Corners of the Earth","First-person shooter/Survival Horror","Headfirst Productions","Bethesda Softworks/2K Games","October 28, 2005","Unreleased","October 24, 2005"
"118","Call of Duty: Finest Hour","First-person shooter","Spark Unlimited","Activision","December 2, 2004","Unreleased","November 16, 2004"
"119","Call of Duty 2: Big Red One","First-person shooter","Treyarch","Activision","November 18, 2005","Unreleased","November 1, 2005"
"120","Call of Duty 3","First-person shooter","Treyarch, Pi Studios","Activision","November 10, 2006","Unreleased","November 7, 2006"
"121","Capcom Classics Collection Vol. 1","Arcade Compilations","Backbone Entertainment","Capcom","November 18, 2005","Unreleased","September 27, 2005"
"122","Capcom Classics Collection Vol. 2","Arcade Compilations","Backbone Entertainment","Capcom","Unreleased","Unreleased","November 14, 2006"
"123","Capcom Fighting Evolution Capcom Fighting Jam (PAL) (JP)","Fighting","Capcom Production Studio 2","Capcom","June 24, 2006","June 16, 2006","June 14, 2005"
"124","Capcom vs. SNK 2 EO","Fighting","Capcom Production Studio 1","Capcom","March 7, 2003","January 16, 2003","February 11, 2003"
"125","Carmen Sandiego: The Secret of the Stolen Drums","Third-person Action-Adventure/Platformer","A2M","BAM! Entertainment","March 5, 2004","Unreleased","September 13, 2004"
"126","Cars","Racing","Rainbow Studios","THQ","July 13, 2006","Unreleased","June 5, 2006"
"127","Carve","Racing","Argonaut Games","Global Star Software","December 31, 2004","Unreleased","February 26, 2004"
"128","Castlevania: Curse of Darkness Akumajo Dracula: Yami no Juin (JP)","Third-person Action-Adventure/Hack and slash","Konami","Konami","February 17, 2006","November 24, 2005","November 5, 2005"
"129","Catwoman","Third-person Action-Adventure","Argonaut Games","EA Games","August 6, 2004","Unreleased","July 20, 2004"
"130","Cel Damage","Vehicular combat","Pseudo Interactive","EA Games","May 3, 2002","Unreleased","November 15, 2001"
"131","Celebrity Deathmatch","Fighting","Big Ape Productions","Gotham Games","October 31, 2003","Unreleased","October 14, 2003"
"132","Championship Bowling","Sports","Black Market Games","Evolved Games","Unreleased","Unreleased","March 1, 2006"
"133","Championship Manager: Season 01/02","Sport Management","Sports Interactive","Eidos Interactive","April 14, 2002","Unreleased","Unreleased"
"134","Championship Manager: Season 02/03","Sport Management","Sports Interactive","Eidos Interactive","December 6, 2002","Unreleased","Unreleased"
"135","Championship Manager 2006","Sport Management","Gusto Games","Eidos Interactive","May 12, 2006","Unreleased","Unreleased"
"136","Championship Manager 5","Sport Management","Gusto Games","Eidos Interactive","May 13, 2005","Unreleased","Unreleased"
"137","Charlie and the Chocolate Factory","Third-person Action-Adventure","High Voltage Software","Global Star Software","May 25, 2005","Unreleased","July 15, 2005"
"138","Chase: Hollywood Stunt Driver","Racing/Action","I-Imagine","BAM! Entertainment","October 17, 2002","Unreleased","September 22, 2002"
"139","Chessmaster 10th Edition","Chess","Ubisoft","Ubisoft","Unreleased","Unreleased","October 27, 2004"
"140","Chicago Enforcer","First-person shooter","Touchdown","Kemco","Unreleased","Unreleased","February 23, 2005"
"141","Chicken Little","Action-Adventure","Avalanche Software","Buena Vista Games","February 10, 2006","Unreleased","October 18, 2005"
"142","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Third-person Action-Adventure","Traveller's Tales","Buena Vista Games","March 31, 2006","Unreleased","November 14, 2005"
"143","The Chronicles of Riddick: Escape from Butcher Bay","Action-Adventure/Stealth","Starbreeze Studios, Tigon Studios","Vivendi Universal Games","August 13, 2004","Unreleased","June 1, 2004"
"144","Circus Maximus: Chariot Wars","Racing","Kodiak Interactive","Encore","June 14, 2002","Unreleased","July 5, 2002"
"145","Classified: The Sentinel Crisis","First-person shooter","Torus Games","Global Star Software","April 29, 2005","Unreleased","May 25, 2005"
"146","Close Combat: First to Fight","First-person shooter","Destineer","2K Games","April 25, 2005","Unreleased","April 6, 2005"
"147","Club Football","Sports","Codemasters","Codemasters","October 10, 2003","Unreleased","Unreleased"
"148","Club Football 2005","Sports","Codemasters","Codemasters","October 15, 2004","Unreleased","Unreleased"
"149","Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.","Platformer/Adventure","High Voltage Software","Global Star Software","December 2, 2005","Unreleased","October 11, 2005"
"150","Cold Fear","Survival Horror","Darkworks","Ubisoft","March 4, 2005","Unreleased","March 15, 2005"
"151","Cold War","Stealth","Mindware Studios","DreamCatcher Games","October 28, 2005","Unreleased","September 27, 2005"
"152","Colin McRae Rally 04","Racing","Codemasters","Codemasters","September 19, 2003","Unreleased","March 4, 2004"
"153","Colin McRae Rally 2005","Racing","Codemasters","Codemasters","October 31, 2004","Unreleased","September 28, 2004"
"154","Colin McRae Rally 3","Racing","Codemasters","Codemasters","October 25, 2002","Unreleased","February 18, 2003"
"155","College Hoops 2K6","Sports","Visual Concepts","2K Sports","Unreleased","Unreleased","November 1, 2005"
"156","College Hoops 2K7","Sports","Visual Concepts","2K Sports","Unreleased","Unreleased","November 20, 2006"
"157","Combat Elite: WWII Paratroopers","Action/RPG","BattleBorne Entertainment","SouthPeak Interactive","June 10, 2004","Unreleased","November 21, 2005"
"158","Combat: Task Force 121","First-person shooter/Tactical shooter","Direct Action","Groove Games","November 30, 2005","Unreleased","March 22, 2005"
"159","Commandos: Strike Force","First-person shooter","Pyro Studios","Eidos Interactive","October 31, 2005","Unreleased","April 4, 2006"
"160","Commandos 2: Men of Courage","Real-time Tactics","Pyro Studios","Eidos Interactive","September 13, 2002","Unreleased","September 10, 2002"
"161","Conan","Action-Adventure/Hack and slash","Cauldron HQ","TDK Mediactive","April 8, 2004","Unreleased","Unreleased"
"162","Conflict: Desert Storm","Tactical shooter","Pivotal Games","SCi","September 13, 2002","Unreleased","September 30, 2002"
"163","Conflict: Desert Storm II: Back to Baghdad","Tactical shooter","Pivotal Games","SCi","September 19, 2003","Unreleased","October 8, 2003"
"164","Conflict: Global Terror","Tactical shooter","Pivotal Games","SCi / 2K Games","September 30, 2005","Unreleased","October 4, 2005"
"165","Conflict: Vietnam","Tactical shooter","Pivotal Games","Eidos Interactive","September 3, 2004","Unreleased","October 5, 2004"
"166","Conker: Live & Reloaded","Third-person shooter/Platformer","Rare","Xbox Game Studios","June 24, 2005","June 30, 2005","June 21, 2005"
"167","Conspiracy: Weapons of Mass Destruction","First-person shooter","Kuju Entertainment","Oxygen Interactive","August 12, 2005","Unreleased","Unreleased"
"168","Constantine","Action-Adventure/Third-person shooter","Bits Studios","THQ","March 4, 2005","April 21, 2005","February 15, 2005"
"169","Corvette","Racing","Steel Monkeys","TDK Mediactive","Unreleased","Unreleased","December 10, 2003"
"170","Counter-Strike","First-person shooter","Valve","Xbox Game Studios","December 5, 2003","March 25, 2004","November 18, 2003"
"171","Crash Bandicoot: The Wrath of Cortex","Platformer","Traveller's Tales","Vivendi Universal Interactive Publishing","April 26, 2002","Unreleased","April 15, 2002"
"172","Crash 'n' Burn","Racing","Climax","Eidos Interactive","December 3, 2004","Unreleased","November 19, 2004"
"173","Crash Nitro Kart","Racing","Vicarious Visions","Vivendi Universal Games","November 28, 2003","Unreleased","November 11, 2003"
"174","Crash Tag Team Racing","Racing","Radical Entertainment","Vivendi Universal Games","November 4, 2005","Unreleased","October 19, 2005"
"175","Crash Twinsanity","Platformer","Traveller's Tales","Vivendi Universal Games","October 8, 2004","Unreleased","September 28, 2004"
"176","Crazy Taxi 3: High Roller","Racing/Action","Hitmaker","Sega","September 20, 2002","October 23, 2003","July 24, 2002"
"177","Cricket 2005","Sports","HB Studios","EA Games","December 31, 2005","Unreleased","Unreleased"
"178","Crime Life: Gang Wars","Action","Hothouse Creations","Konami","September 30, 2005","Unreleased","November 22, 2005"
"179","Crimson Sea","Action/RPG","Koei","Koei","March 24, 2003","December 12, 2002","December 16, 2002"
"180","Crimson Skies: High Road to Revenge","Action/Arcade Flight Combat","FASA Interactive","Xbox Game Studios","October 31, 2003","May 20, 2004","October 21, 2003"
"181","Crouching Tiger, Hidden Dragon","Beat 'em up","Bergsala Lightweight","Ubisoft","November 28, 2003","January 22, 2004","December 9, 2003"
"182","Crusty Demons","Racing/Motocross","Evolved Games, Climax","SouthPeak Games","Unreleased","Unreleased","June 27, 2006"
"183","CSI: Crime Scene Investigation","Adventure","369 Interactive","Ubisoft","February 4, 2005","Unreleased","December 14, 2004"
"184","Curious George","Platformer","Monkey Bar Games","Namco","October 20, 2006","Unreleased","February 1, 2006"
"185","Curse: The Eye of Isis","Survival Horror","Asylum Entertainment","DreamCatcher Interactive","February 6, 2004","Unreleased","December 8, 2003"
"186","The Da Vinci Code","Adventure/Puzzle","The Collective","2K Games","May 16, 2007","Unreleased","May 19, 2006"
"187","Daemon Vector","Action","XPEC Entertainment","XPEC Entertainment","Unreleased","June 21, 2004","Unreleased"
"188","Dai Senryaku VII: Modern Military Tactics Daisenryaku VII (JP)","Turn-based strategy","SystemSoft","Kemco","Unreleased","May 29, 2004","February 15, 2005"
"189","Dakar 2: The World's Ultimate Rally","Racing","Acclaim Studios Cheltenham","Acclaim Entertainment","June 6, 2003","Unreleased","June 19, 2003"
"190","Dance Dance Revolution Ultramix Dance Stage Unleashed (PAL)","Music/Rhythm","Konami","Konami","March 12, 2004","Unreleased","November 19, 2003"
"191","Dance Dance Revolution Ultramix 2 Dance Stage Unleashed 2 (PAL)","Music/Rhythm","Konami","Konami","May 13, 2005","Unreleased","November 18, 2004"
"192","Dance Dance Revolution Ultramix 3 Dance Stage Unleashed 3 (PAL)","Music/Rhythm","Konami","Konami","March 16, 2006","Unreleased","November 15, 2005"
"193","Dance Dance Revolution Ultramix 4","Music/Rhythm","Konami","Konami","Unreleased","Unreleased","November 14, 2006"
"194","Dance: UK","Music/Rhythm","Broadsword Interactive","Bigben Interactive","July 2, 2004","Unreleased","Unreleased"
"195","Dark Summit","Sports (Snowboarding)","Radical Entertainment","THQ","March 22, 2002","Unreleased","November 15, 2001"
"196","Darkwatch","First-person shooter","High Moon Studios","Capcom","October 6, 2005","Unreleased","August 16, 2005"
"197","Dave Mirra Freestyle BMX 2","Sports","Z-Axis","Acclaim Max Sports","March 14, 2002","Unreleased","November 28, 2001"
"198","David Beckham Soccer","Sports","Rage Software Limited","Rage Software Limited","June 7, 2002","Unreleased","Unreleased"
"199","Dead Man's Hand","Action/First-person shooter","Human Head Studios","Atari","April 29, 2004","September 2, 2004","March 16, 2004"
"200","Dead or Alive 3","Fighting","Team Ninja","Tecmo","March 14, 2002","February 22, 2002","November 15, 2001"
"201","Dead or Alive Ultimate","Fighting","Team Ninja","Tecmo","February 18, 2005","November 3, 2004","October 26, 2004"
"202","Dead or Alive Xtreme Beach Volleyball","Sports","Team Ninja","Tecmo","March 28, 2003","January 23, 2003","January 22, 2003"
"203","Dead to Rights","Third-person shooter","Namco","Namco","February 21, 2003","November 28, 2002","August 19, 2002"
"204","Dead to Rights II","Third-person shooter","Widescreen Games","Namco","October 28, 2005","Unreleased","April 12, 2005"
"205","Deathrow","Sports/Action","Southend Interactive","Ubisoft","October 18, 2002","Unreleased","October 22, 2002"
"206","Def Jam: Fight for NY","Fighting","AKI Corporation, EA Canada","EA Games","October 1, 2004","Unreleased","September 20, 2004"
"207","Defender","Shoot'em up","7 Studios","Midway Games","Unreleased","Unreleased","October 22, 2002"
"208","Delta Force: Black Hawk Down","First-person shooter","VU Games, Climax","NovaLogic","September 8, 2005","Unreleased","July 26, 2005"
"209","Dennou Taisen: DroneZ","Action","Zetha GameZ","Metro 3D","Unreleased","April 22, 2004","Unreleased"
"210","Destroy All Humans!","Action-Adventure","Pandemic Studios","THQ","June 24, 2005","Unreleased","June 21, 2005"
"211","Destroy All Humans! 2","Action-Adventure","Pandemic Studios","THQ","October 20, 2006","Unreleased","October 17, 2006"
"212","Deus Ex: Invisible War","First-person shooter/RPG","Ion Storm","Eidos Interactive","March 5, 2003","June 17, 2004","December 2, 2003"
"213","Die Hard: Vendetta","First-person shooter","Bits Studios","Vivendi Universal Games","June 27, 2003","Unreleased","Unreleased"
"214","Digimon Rumble Arena 2","Fighting","Bandai","Bandai","October 15, 2004","Unreleased","September 3, 2004"
"215","Digimon World 4 Dejimon Warudo X (JP)","Action/RPG","Bandai","Bandai","September 2, 2005","January 5, 2005","June 2, 2005"
"216","Dino Crisis 3","Third-person shooter/Action-Adventure","Capcom","Capcom","November 7, 2003","June 26, 2003","September 16, 2003"
"217","Dinosaur Hunting","Hunting/Action-Adventure","Scarab","Metro 3D","Unreleased","September 18, 2003","August 2, 2004"
"218","Dinotopia: The Sunstone Odyssey","Third-person Action-Adventure","Vicious Cycle","TDK Mediactive","April 16, 2004","Unreleased","August 5, 2003"
"219","Disney's Extreme Skate Adventure","Sports","Toys for Bob","Activision","September 5, 2003","Unreleased","September 3, 2003"
"220","Doom 3","First-person shooter","id Software, Vicarious Visions","Activision","April 8, 2005","Unreleased","April 3, 2005"
"221","Doom 3: Resurrection of Evil","First-person shooter","id Software","Activision","October 21, 2005","Unreleased","October 5, 2005"
"222","Double-S.T.E.A.L. - The Second Clash","Action/Racing","Bunkasha Publishing","Xbox Game Studios","Unreleased","June 4, 2005","Unreleased"
"223","Dr. Muto","Platformer","Midway Games","Midway Games","March 21, 2003","Unreleased","November 19, 2002"
"224","Dr. Seuss' The Cat in the Hat","Action","Magenta Software","Vivendi Universal Games","March 19, 2004","March 25, 2004","November 5, 2003"
"225","Dragon Ball Z: Sagas","Action-Adventure/Beat 'em up","Avalanche Software","Atari","Unreleased","Unreleased","March 22, 2005"
"226","Dragon's Lair 3D: Return to the Lair","Platformer/Third-person Action-Adventure","Dragonstone Software","Ubisoft","March 5, 2004","Unreleased","November 18, 2002"
